,RF_M
2021-10-31,4.1666666666666665e-05
2021-11-30,4.1666666666666665e-05
2021-12-31,4.9999999999999996e-05
2022-01-31,0.00018333333333333334
2022-02-28,0.00029166666666666664
2022-03-31,0.0004333333333333333
2022-04-30,0.0007083333333333334
2022-05-31,0.0009666666666666666
2022-06-30,0.0014333333333333333
2022-07-31,0.0020083333333333333
2022-08-31,0.002466666666666667
2022-09-30,0.002775
2022-10-31,0.003516666666666666
2022-11-30,0.0036416666666666667
2022-12-31,0.003683333333333333
2023-01-31,0.003916666666666666
2023-02-28,0.004066666666666666
2023-03-31,0.0040416666666666665
2023-04-30,0.0042499999999999994
2023-05-31,0.0046
2023-06-30,0.0045249999999999995
2023-07-31,0.004625
2023-08-31,0.004633333333333333
2023-09-30,0.004625
2023-10-31,0.004658333333333333
2023-11-30,0.004541666666666667
2023-12-31,0.0045000000000000005
2024-01-31,0.004516666666666666
2024-02-29,0.004541666666666667
2024-03-31,0.00455
2024-04-30,0.00455
2024-05-31,0.00455
2024-06-30,0.004566666666666667
2024-07-31,0.004508333333333334
2024-08-31,0.004341666666666666
2024-09-30,0.003941666666666667
2024-10-31,0.0038666666666666663
2024-11-30,0.0038166666666666666
2024-12-31,0.0036416666666666667
2025-01-31,0.0035916666666666666
2025-02-28,0.0036000000000000003
2025-03-31,0.0036000000000000003
2025-04-30,0.0035916666666666666
2025-05-31,0.0036333333333333335
2025-06-30,0.003675
2025-07-31,0.003675
2025-08-31,0.0035250000000000004
2025-09-30,0.0033499999999999992
2025-10-31,0.003241666666666667
2025-11-30,0.0032333333333333333
