,US_Mkt_RF,US_SMB,US_HML,US_RMW,US_CMA,US_MOM,US_RF,DEV_Mkt_RF,DEV_SMB,DEV_HML,DEV_RMW,DEV_CMA,DEV_MOM,DEV_RF,EM_Mkt_RF,EM_SMB,EM_HML,EM_RMW,EM_CMA,EM_MOM,EM_RF
2013-06-30,-0.012,0.0154,-0.0005,-0.0028000000000000004,-0.0006,0.0043,0.0,-0.0374,0.0006,-0.0021,0.010700000000000001,0.011000000000000001,0.0148,0.0,-0.0644,-0.0054,-0.0305,0.015300000000000001,0.005699999999999999,0.0003,0.0
2013-07-31,0.0565,0.0175,0.0058,-0.013500000000000002,0.005699999999999999,0.0174,0.0,0.054900000000000004,-0.0055000000000000005,0.008100000000000001,-0.0013,-0.0051,0.0155,0.0,0.0158,0.0,-0.0058,0.0021,0.0019,0.0028000000000000004,0.0
2013-08-31,-0.0271,-0.0003,-0.0273,0.0070999999999999995,-0.0217,0.0004,0.0,-0.0104,0.0155,0.0019,-0.0012,0.0003,-0.0195,0.0,-0.024900000000000002,-0.009300000000000001,0.0148,-0.0067,0.0004,-0.0204,0.0
2013-09-30,0.0377,0.0265,-0.0118,-0.0054,-0.0132,0.0302,0.0,0.0708,0.0108,0.0028000000000000004,-0.005699999999999999,0.0089,0.031400000000000004,0.0,0.068,-0.0059,0.006999999999999999,-0.015300000000000001,0.0036,-0.001,0.0
2013-10-31,0.0417,-0.015,0.012199999999999999,0.0275,0.0089,0.0002,0.0,0.033,-0.011399999999999999,0.0218,0.0,0.011399999999999999,0.0073,0.0,0.0425,-0.0147,0.0023,-0.0005,-0.0113,0.015600000000000001,0.0
2013-11-30,0.031200000000000002,0.0144,0.0019,0.0026,0.0006,0.0039000000000000003,0.0,0.0062,-0.005,-0.0015,0.0018,0.0064,0.0345,0.0,-0.0146,-0.0003,-0.0062,0.0118,0.0009,0.0134,0.0
2013-12-31,0.027999999999999997,-0.0044,0.0,-0.0058,0.0008,0.0002,0.0,0.017,0.0025,-0.004699999999999999,0.0038,-0.0034000000000000002,0.0163,0.0,-0.0048,0.0147,0.0016,0.0018,0.0084,0.018500000000000003,0.0
2014-01-31,-0.033,0.006,-0.0199,-0.0391,-0.0154,0.0161,0.0,-0.0319,0.0407,0.0132,-0.0088,0.0108,0.0059,0.0,-0.059000000000000004,0.037000000000000005,-0.0089,0.0026,-0.0002,0.0329,0.0
2014-02-28,0.046799999999999994,0.0013,-0.0034999999999999996,-0.0025,-0.0054,0.0213,0.0,0.0536,-0.0187,0.0013,0.006500000000000001,0.0048,0.0087,0.0,0.0359,0.0106,-0.0235,0.0019,-0.008,0.034,0.0
2014-03-31,0.0040999999999999995,-0.0113,0.049,0.0202,0.0192,-0.0327,0.0,-0.0025,0.0070999999999999995,0.010700000000000001,0.0092,0.002,-0.014499999999999999,0.0,0.0255,-0.0017000000000000001,0.0166,0.0025,0.008100000000000001,-0.0359,0.0
2014-04-30,-0.0019,-0.0407,0.012199999999999999,0.034,0.009300000000000001,-0.0382,0.0,0.0108,-0.0176,0.006,0.0101,-0.005600000000000001,-0.0281,0.0,0.005600000000000001,0.0003,0.0154,0.0118,0.0005,-0.027200000000000002,0.0
2014-05-31,0.0204,-0.018600000000000002,-0.001,-0.0009,-0.0096,0.0089,0.0,0.014199999999999999,-0.005600000000000001,-0.0034999999999999996,0.0062,0.0011,-0.0008,0.0,0.0388,0.0053,0.0103,-0.0004,-0.0022,0.0149,0.0
2014-06-30,0.026099999999999998,0.030600000000000002,-0.0070999999999999995,-0.0183,-0.0191,0.006500000000000001,0.0,0.0148,0.0207,-0.0038,0.0045000000000000005,-0.0055000000000000005,0.0027,0.0,0.030600000000000002,-0.005,0.006999999999999999,-0.0045000000000000005,0.0013,0.031400000000000004,0.0
2014-07-31,-0.0203,-0.042,-0.0008,0.009300000000000001,0.0051,-0.0017000000000000001,0.0,-0.019299999999999998,0.0058,0.0034999999999999996,-0.0074,-0.0013,0.0029,0.0,0.0168,-0.0218,0.0222,0.0021,0.0059,-0.0060999999999999995,0.0
2014-08-31,0.0424,0.0029,-0.005699999999999999,-0.0064,-0.0069,0.0083,0.0,-0.0023,0.0018,-0.0014000000000000002,-0.0007000000000000001,0.0026,0.0040999999999999995,0.0,0.0217,0.003,-0.0026,-0.0001,0.0026,0.006500000000000001,0.0
2014-09-30,-0.0196,-0.0366,-0.0147,0.012,-0.0059,0.006,0.0,-0.040999999999999995,-0.0163,-0.0009,-0.004,0.0017000000000000001,0.0131,0.0,-0.062400000000000004,0.0294,-0.0233,0.0233,0.0055000000000000005,0.0104,0.0
2014-10-31,0.025099999999999997,0.0366,-0.0163,-0.0039000000000000003,0.0021,-0.0021,0.0,-0.018000000000000002,-0.0184,-0.023,0.0167,-0.0038,0.0109,0.0,0.004699999999999999,-0.021,-0.0172,0.0182,-0.0102,0.0192,0.0
2014-11-30,0.0256,-0.023,-0.0313,0.015700000000000002,0.0014000000000000002,0.0069,0.0,0.008199999999999999,-0.0207,-0.0113,0.0019,-0.0019,0.0053,0.0,-0.0113,-0.0163,-0.005699999999999999,0.0098,0.0043,0.009300000000000001,0.0
